Cod_muni;Município;Óbitos;Equipamentos_Existentes;População;Taxa
330010;Angra dos Reis;80;113;207044;3,86
330015;Aperibé;4;2;11901;3,36
330020;Araruama;10;92;134293;0,74
330022;Areal;5;10;12669;3,95
330023;Armação dos Búzios;28;1;34477;8,12
330025;Arraial do Cabo;10;18;30593;3,27
330030;Barra do Piraí;4;21;100764;0,4
330040;Barra Mansa;75;54;184833;4,06
330045;Belford Roxo;70;91;513118;1,36
330050;Bom Jardim;13;4;27616;4,71
330060;Bom Jesus do Itabapoana;21;76;37203;5,64
330070;Cabo Frio;22;69;230378;0,95
330080;Cachoeiras de Macacu;12;9;59303;2,02
330090;Cambuci;11;14;15514;7,09
330093;Carapebus;0;1;16586;0
330095;Comendador Levy Gasparian;1;2;8576;1,17
330100;Campos dos Goytacazes;195;361;511168;3,81
330110;Cantagalo;8;11;20168;3,97
330115;Cardoso Moreira;7;0;12821;5,46
330120;Carmo;14;23;19030;7,36
330130;Casimiro de Abreu;21;22;45041;4,66
330140;Conceição de Macabu;9;15;23398;3,85
330150;Cordeiro;4;10;22041;1,81
330160;Duas Barras;5;1;11528;4,34
330170;Duque de Caxias;124;539;924624;1,34
330180;Engenheiro Paulo de Frontin;2;3;14071;1,42
330185;Guapimirim;18;16;61388;2,93
330187;Iguaba Grande;1;10;28837;0,35
330190;Itaboraí;72;122;242543;2,97
330200;Itaguaí;15;33;134819;1,11
330205;Italva;0;1;15299;0
330210;Itaocara;13;14;23222;5,6
330220;Itaperuna;21;72;103800;2,02
330225;Itatiaia;8;10;32064;2,5
330227;Japeri;14;25;105548;1,33
330230;Laje do Muriaé;0;7;7326;0
330240;Macaé;76;171;261501;2,91
330245;Macuco;1;1;5623;1,78
330250;Magé;34;49;246433;1,38
330260;Mangaratiba;8;12;45220;1,77
330270;Maricá;45;128;164504;2,74
330280;Mendes;11;1;18648;5,9
330285;Mesquita;21;46;176569;1,19
330290;Miguel Pereira;16;20;25581;6,25
330300;Miracema;16;9;27154;5,89
330310;Natividade;13;2;15311;8,49
330320;Nilópolis;25;75;162693;1,54
330330;Niterói;48;517;515317;0,93
330340;Nova Friburgo;78;148;191158;4,08
330350;Nova Iguaçu;267;265;823302;3,24
330360;Paracambi;34;16;52683;6,45
330370;Paraíba do Sul;18;38;44518;4,04
330380;Paraty;19;31;43680;4,35
330385;Paty do Alferes;20;6;27858;7,18
330390;Petrópolis;32;345;306678;1,04
330395;Pinheiral;6;7;25364;2,37
330400;Piraí;13;8;29545;4,4
330410;Porciúncula;0;2;18960;0
330411;Porto Real;10;7;19974;5,01
330412;Quatis;4;1;14435;2,77
330414;Queimados;15;10;151335;0,99
330415;Quissamã;16;10;25126;6,37
330420;Resende;42;97;132312;3,17
330430;Rio Bonito;12;27;60573;1,98
330440;Rio Claro;9;9;18605;4,84
330450;Rio das Flores;6;4;9344;6,42
330452;Rio das Ostras;23;56;155193;1,48
330455;Rio de Janeiro;1210;5605;6747815;1,79
330460;Santa Maria Madalena;3;2;10392;2,89
330470;Santo Antônio de Pádua;10;19;42594;2,35
330475;São Francisco de Itabapoana;21;11;42210;4,98
330480;São Fidélis;23;7;38710;5,94
330490;São Gonçalo;315;366;1091737;2,89
330500;São João da Barra;26;25;36423;7,14
330510;São João de Meriti;49;76;472906;1,04
330513;São José de Ubá;0;6;7206;0
330515;São José do Vale do Rio Preto;3;4;21916;1,37
330520;São Pedro da Aldeia;3;33;106049;0,28
330530;São Sebastião do Alto;5;12;9387;5,33
330540;Sapucaia;5;10;18249;2,74
330550;Saquarema;41;17;90583;4,53
330555;Seropédica;7;18;83092;0,84
330560;Silva Jardim;14;5;21774;6,43
330570;Sumidouro;5;11;15667;3,19
330575;Tanguá;4;1;34610;1,16
330580;Teresópolis;16;113;184240;0,87
330590;Trajano de Moraes;8;1;10640;7,52
330600;Três Rios;6;66;82142;0,73
330610;Valença;31;63;76869;4,03
330615;Varre-Sai;3;1;11106;2,7
330620;Vassouras;13;108;37083;3,51
330630;Volta Redonda;107;348;273988;3,91
